countyfip,city,sex,age,language,poverty,diffrem,diffphys,diffmob,diffcare,diffeye,diffhear,vetstat,raceethn,diffany
0,not in identifiable city (or size group),male,36,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,34,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,61,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,32,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,18,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
21,not in identifiable city (or size group),male,65,arabic,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,34,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,51,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,74,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,404,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,38,english,50,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,42,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,26,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,67,english,260,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,46,english,422,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,36,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,84,english,220,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,38,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,53,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
23,not in identifiable city (or size group),male,61,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,76,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,59,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,70,english,438,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,55,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,29,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,60,english,192,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,46,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,28,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,61,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
3,not in identifiable city (or size group),male,50,english,51,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,44,english,398,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,44,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,73,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
5,not in identifiable city (or size group),male,28,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
3,not in identifiable city (or size group),male,85,greek,494,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,62,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,31,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,42,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,94,english,243,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,17,english,406,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,32,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,23,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
13,not in identifiable city (or size group),male,63,english,199,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,20,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,56,english,106,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,55,english,444,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
5,not in identifiable city (or size group),male,65,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
25,not in identifiable city (or size group),male,16,english,127,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,50,english,170,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
13,not in identifiable city (or size group),male,47,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,64,italian,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,63,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,47,english,18,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,36,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,57,english,274,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
23,not in identifiable city (or size group),male,57,english,171,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,59,arabic,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,31,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,23,english,347,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,37,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,47,arabic,342,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,61,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,17,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,37,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,28,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,27,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,50,english,479,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,183,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,74,english,276,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,40,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,70,english,447,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,30,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,56,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,65,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,31,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,55,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,29,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
25,not in identifiable city (or size group),male,39,arabic,110,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,72,english,254,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,89,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,64,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,37,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,55,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,40,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,413,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,42,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,74,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,57,english,427,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,44,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,27,english,274,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
23,not in identifiable city (or size group),male,60,english,499,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,56,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,16,english,462,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,67,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,77,english,331,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,58,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,34,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,68,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,63,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,27,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,31,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,53,english,355,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,72,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,60,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,52,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,35,english,267,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
13,not in identifiable city (or size group),male,48,english,399,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,52,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,56,english,218,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,67,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
23,not in identifiable city (or size group),male,38,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,42,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,76,arabic,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,51,german,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,40,english,494,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
23,not in identifiable city (or size group),male,63,english,160,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,62,english,489,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,55,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
3,not in identifiable city (or size group),male,73,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,41,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,46,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,34,english,425,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
3,not in identifiable city (or size group),male,58,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,50,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,61,english,241,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,68,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,46,english,498,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,51,english,487,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
13,not in identifiable city (or size group),male,73,english,242,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,40,english,322,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,50,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,51,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,24,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,64,english,323,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,67,english,280,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,42,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,55,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
17,not in identifiable city (or size group),male,38,russian,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,55,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,27,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,24,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,27,french,452,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,17,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
5,not in identifiable city (or size group),male,21,english,396,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,39,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,35,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,29,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,17,english,466,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,52,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,83,italian,265,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
5,not in identifiable city (or size group),male,81,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,30,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
23,not in identifiable city (or size group),male,65,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,18,english,262,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,69,english,268,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,44,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,16,english,198,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,15,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,38,italian,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,64,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
21,not in identifiable city (or size group),male,62,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,59,english,317,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,24,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,45,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,85,italian,367,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,33,english,336,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,69,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,67,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,75,english,163,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,64,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
0,not in identifiable city (or size group),male,65,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,68,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,60,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
27,not in identifiable city (or size group),male,64,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,23,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,64,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,67,russian,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,17,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,70,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,16,english,374,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,45,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,78,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
9,not in identifiable city (or size group),male,71,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,52,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,57,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
9,not in identifiable city (or size group),male,65,english,470,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,50,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,35,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,70,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,20,portuguese,261,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,72,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,veteran,White NH,0
27,not in identifiable city (or size group),male,30,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,42,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
21,not in identifiable city (or size group),male,35,english,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
0,not in identifiable city (or size group),male,51,russian,501,no cognitive difficulty,no ambulatory difficulty,no independent living difficulty,no,no,no,not a veteran,White NH,0
